bank_id,branch_id,acct_id,acct_id
bank_0,1,0,0
bank_0,1,1,1
bank_0,1,2,2
bank_0,1,3,3
bank_0,1,4,4
bank_0,1,5,5
bank_0,1,6,6
bank_0,1,7,7
bank_0,1,8,8
bank_0,1,9,9
bank_0,1,10,10
bank_0,1,11,11
bank_0,1,12,12
bank_0,1,13,13
bank_0,1,14,14
bank_0,1,15,15
bank_0,1,16,16
bank_0,1,17,17
bank_0,1,18,18
bank_0,1,19,19
bank_0,1,20,20
bank_0,1,21,21
bank_0,1,22,22
bank_0,1,23,23
bank_0,1,24,24
bank_0,1,25,25
bank_0,1,26,26
bank_0,1,27,27
bank_0,1,28,28
bank_0,1,29,29
bank_0,1,30,30
bank_0,1,31,31
bank_0,1,32,32
bank_0,1,33,33
bank_0,1,34,34
bank_0,1,35,35
bank_0,1,36,36
bank_0,1,37,37
bank_0,1,38,38
bank_0,1,39,39
bank_0,1,40,40
bank_0,1,41,41
bank_0,1,42,42
bank_0,1,43,43
bank_0,1,44,44
bank_0,1,45,45
bank_0,1,46,46
bank_0,1,47,47
bank_0,1,48,48
bank_0,1,49,49
bank_0,1,50,50
bank_0,1,51,51
bank_0,1,52,52
bank_0,1,53,53
bank_0,1,54,54
bank_0,1,55,55
bank_0,1,56,56
bank_0,1,57,57
bank_0,1,58,58
bank_0,1,59,59
bank_0,1,60,60
bank_0,1,61,61
bank_0,1,62,62
bank_0,1,63,63
bank_0,1,64,64
bank_0,1,65,65
bank_0,1,66,66
bank_0,1,67,67
bank_0,1,68,68
bank_0,1,69,69
bank_0,1,70,70
bank_0,1,71,71
bank_0,1,72,72
bank_0,1,73,73
bank_0,1,74,74
bank_0,1,75,75
bank_0,1,76,76
bank_0,1,77,77
bank_0,1,78,78
bank_0,1,79,79
bank_0,1,80,80
bank_0,1,81,81
bank_0,1,82,82
bank_0,1,83,83
bank_0,1,84,84
bank_0,1,85,85
bank_0,1,86,86
bank_0,1,87,87
bank_0,1,88,88
bank_0,1,89,89
bank_0,1,90,90
bank_0,1,91,91
bank_0,1,92,92
bank_0,1,93,93
bank_0,1,94,94
bank_0,1,95,95
bank_0,1,96,96
bank_0,1,97,97
bank_0,1,98,98
bank_0,1,99,99
bank_0,1,100,100
bank_0,1,101,101
bank_0,1,102,102
bank_0,1,103,103
bank_0,1,104,104
bank_0,1,105,105
bank_0,1,106,106
bank_0,1,107,107
bank_0,1,108,108
bank_0,1,109,109
bank_0,1,110,110
bank_0,1,111,111
bank_0,1,112,112
bank_0,1,113,113
