bank_id,branch_id,acct_id,initial_deposit
bank_0,1,0,92221.09
bank_0,1,1,87897.72
bank_0,1,2,71028.58
bank_0,1,3,62945.84
bank_0,1,4,75563.74
bank_0,1,5,70246.71
bank_0,1,6,89189.93
bank_0,1,7,65165.64
bank_0,1,8,73829.85
bank_0,1,9,79169.1
bank_0,1,10,95405.64
bank_0,1,11,75234.34
bank_0,1,12,64091.89
bank_0,1,13,87790.21
bank_0,1,14,80918.45
bank_0,1,15,62525.32
bank_0,1,16,95487.31
bank_0,1,17,99139.27
bank_0,1,18,90510.86
bank_0,1,19,95108.3
bank_0,1,20,65507.38
bank_0,1,21,86491.59
bank_0,1,22,94941.91
bank_0,1,23,84199.2
bank_0,1,24,73607.14
bank_0,1,25,55035.06
bank_0,1,26,71708.59
bank_0,1,27,80544.35
bank_0,1,28,95650.55
bank_0,1,29,98330.32
bank_0,1,30,73850.49
bank_0,1,31,93265.5
bank_0,1,32,63024.62
bank_0,1,33,90251.39
bank_0,1,34,77434.97
bank_0,1,35,50702.09
bank_0,1,36,85985.23
bank_0,1,37,69941.18
bank_0,1,38,91242.25
bank_0,1,39,83407.66
bank_0,1,40,50057.14
bank_0,1,41,74678.89
bank_0,1,42,93380.14
bank_0,1,43,62195.54
bank_0,1,44,66260.22
bank_0,1,45,93523.56
bank_0,1,46,59553.35
bank_0,1,47,78375.54
bank_0,1,48,61930.8
bank_0,1,49,98377.01
bank_0,1,50,90158.97
bank_0,1,51,72398.48
bank_0,1,52,54022.29
bank_0,1,53,66002.73
bank_0,1,54,75397.03
bank_0,1,55,96641.69
bank_0,1,56,55452.89
bank_0,1,57,77563.36
bank_0,1,58,85328.07
bank_0,1,59,77372.05
bank_0,1,60,90723.34
bank_0,1,61,77014.18
bank_0,1,62,98191.93
bank_0,1,63,80159.28
bank_0,1,64,79380.85
bank_0,1,65,72249.45
bank_0,1,66,79814.34
bank_0,1,67,69245.06
bank_0,1,68,78782.55
bank_0,1,69,64516.48
bank_0,1,70,59469.57
bank_0,1,71,59336.48
bank_0,1,72,80638.66
bank_0,1,73,82832.97
bank_0,1,74,73826.55
bank_0,1,75,54491.22
bank_0,1,76,87880.2
bank_0,1,77,93838.52
bank_0,1,78,96169.05
bank_0,1,79,92123.01
bank_0,1,80,94908.66
bank_0,1,81,96154.12
bank_0,1,82,77030.0
bank_0,1,83,69564.8
bank_0,1,84,85264.17
bank_0,1,85,63781.71
bank_0,1,86,90581.44
bank_0,1,87,92474.3
bank_0,1,88,94751.95
bank_0,1,89,79490.06
bank_0,1,90,97488.24
bank_0,1,91,78984.75
bank_0,1,92,72528.16
bank_0,1,93,83012.27
bank_0,1,94,99812.89
bank_0,1,95,95847.06
bank_0,1,96,89666.25
bank_0,1,97,54118.65
bank_0,1,98,80639.16
bank_0,1,99,74322.21
bank_0,1,100,81507.37
bank_0,1,101,92253.88
bank_0,1,102,62151.78
bank_0,1,103,86574.46
bank_0,1,104,55856.71
bank_0,1,105,61023.03
bank_0,1,106,89729.15
bank_0,1,107,66626.81
bank_0,1,108,90795.65
bank_0,1,109,55030.38
bank_0,1,110,57317.92
bank_0,1,111,84883.53
bank_0,1,112,52261.7
bank_0,1,113,78693.3
bank_0,1,114,95500.8
bank_0,1,115,76709.9
bank_0,1,116,84029.46
bank_0,1,117,51334.84
bank_0,1,118,81750.0
bank_0,1,119,80316.92
bank_0,1,120,78797.65
bank_0,1,121,69560.47
bank_0,1,122,68507.0
bank_0,1,123,99025.83
bank_0,1,124,51819.6
bank_0,1,125,51081.83
bank_0,1,126,98051.56
bank_0,1,127,59248.6
bank_0,1,128,56194.76
bank_0,1,129,60528.83
bank_0,1,130,90037.33
bank_0,1,131,96848.46
bank_0,1,132,51139.13
bank_0,1,133,71280.94
bank_0,1,134,55075.01
bank_0,1,135,62995.99
bank_0,1,136,61041.46
bank_0,1,137,82346.29
bank_0,1,138,67514.7
bank_0,1,139,59015.9
bank_0,1,140,75181.83
bank_0,1,141,51968.94
bank_0,1,142,55046.06
bank_0,1,143,99411.76
bank_0,1,144,59967.79
bank_0,1,145,67927.77
bank_0,1,146,86579.92
bank_0,1,147,91916.33
bank_0,1,148,95924.1
bank_0,1,149,58471.23
bank_0,1,150,83632.03
bank_0,1,151,98327.45
bank_0,1,152,52902.55
bank_0,1,153,83810.09
bank_0,1,154,92271.23
bank_0,1,155,67115.63
bank_0,1,156,62534.37
bank_0,1,157,79839.57
bank_0,1,158,72115.7
bank_0,1,159,58740.97
bank_0,1,160,73581.27
bank_0,1,161,70495.27
bank_0,1,162,78455.64
bank_0,1,163,75430.01
bank_0,1,164,65572.3
bank_0,1,165,67857.58
bank_0,1,166,91883.06
bank_0,1,167,62546.63
bank_0,1,168,78030.01
bank_0,1,169,50621.82
bank_0,1,170,87078.72
bank_0,1,171,66795.83
bank_0,1,172,52284.82
