bank_id,branch_id,acct_id,ssn
bank_3,1,1600,702-72-0703
bank_3,1,1601,774-89-5541
bank_3,1,1602,452-88-2395
bank_3,1,1603,235-13-7577
bank_3,1,1604,867-51-1479
bank_3,1,1605,692-08-7233
bank_3,1,1606,778-30-4337
bank_3,1,1607,453-34-1839
bank_3,1,1608,841-52-4214
bank_3,1,1609,419-57-7130
bank_3,1,1610,590-55-0859
bank_3,1,1611,677-41-5251
bank_3,1,1612,428-41-4303
bank_3,1,1613,163-05-1277
bank_3,1,1614,148-43-7174
bank_3,1,1615,659-85-5352
bank_3,1,1616,608-76-5905
bank_3,1,1617,424-88-1212
bank_3,1,1618,725-66-4327
bank_3,1,1619,323-24-9308
bank_3,1,1620,072-16-3892
bank_3,1,1621,209-80-1331
bank_3,1,1622,687-82-3956
bank_3,1,1623,545-57-5231
bank_3,1,1624,209-93-9731
bank_3,1,1625,104-49-5604
bank_3,1,1626,695-99-4952
bank_3,1,1627,473-32-5401
bank_3,1,1628,130-61-5260
bank_3,1,1629,487-33-7698
bank_3,1,1630,252-51-9278
bank_3,1,1631,141-97-1696
bank_3,1,1632,625-21-5801
bank_3,1,1633,279-06-4992
bank_3,1,1634,847-28-9524
bank_3,1,1635,072-67-5956
bank_3,1,1636,801-95-4213
bank_3,1,1637,486-61-5110
bank_3,1,1638,314-11-8474
bank_3,1,1639,213-22-3261
bank_3,1,1640,468-44-6940
bank_3,1,1641,088-21-8210
bank_3,1,1642,831-58-1723
bank_3,1,1643,577-34-1215
bank_3,1,1644,371-16-0087
bank_3,1,1645,373-69-1262
bank_3,1,1646,854-74-4385
bank_3,1,1647,134-26-2970
bank_3,1,1648,092-86-7575
bank_3,1,1649,629-24-0101
bank_3,1,1650,337-59-6476
bank_3,1,1651,391-09-2162
bank_3,1,1652,806-45-1294
bank_3,1,1653,714-43-3903
bank_3,1,1654,377-32-6982
bank_3,1,1655,178-38-4893
bank_3,1,1656,266-17-9705
bank_3,1,1657,234-27-2022
bank_3,1,1658,877-15-6785
bank_3,1,1659,421-95-1296
bank_3,1,1660,796-39-9000
bank_3,1,1661,623-90-2627
bank_3,1,1662,899-19-0397
bank_3,1,1663,599-15-5580
bank_3,1,1664,066-05-1398
bank_3,1,1665,262-66-3105
bank_3,1,1666,069-36-6724
bank_3,1,1667,164-11-0849
bank_3,1,1668,839-03-6937
bank_3,1,1669,117-42-5879
bank_3,1,1670,378-93-2562
bank_3,1,1671,480-24-7600
bank_3,1,1672,719-54-6109
bank_3,1,1673,287-18-5883
bank_3,1,1674,882-81-3764
bank_3,1,1675,705-68-0696
bank_3,1,1676,822-21-4527
bank_3,1,1677,394-57-9959
bank_3,1,1678,792-13-1902
bank_3,1,1679,114-48-6526
bank_3,1,1680,696-47-2070
bank_3,1,1681,418-76-3414
bank_3,1,1682,222-96-4504
bank_3,1,1683,554-47-8301
bank_3,1,1684,273-14-8750
bank_3,1,1685,756-84-7914
bank_3,1,1686,528-04-5072
bank_3,1,1687,169-63-5906
bank_3,1,1688,374-28-3183
bank_3,1,1689,295-55-1215
bank_3,1,1690,239-93-8946
bank_3,1,1691,449-31-0065
bank_3,1,1692,692-25-9496
bank_3,1,1693,721-06-3037
bank_3,1,1694,529-06-7862
bank_3,1,1695,326-70-3819
bank_3,1,1696,856-42-5952
bank_3,1,1697,374-47-6868
bank_3,1,1698,578-78-0698
bank_3,1,1699,212-79-3443
bank_3,1,1700,170-77-3843
bank_3,1,1701,004-52-2688
bank_3,1,1702,043-96-7231
bank_3,1,1703,054-33-9767
bank_3,1,1704,783-67-5186
bank_3,1,1705,534-01-2961
bank_3,1,1706,340-94-8009
bank_3,1,1707,201-21-8327
bank_3,1,1708,211-05-3417
bank_3,1,1709,297-24-5211
bank_3,1,1710,367-87-7357
bank_3,1,1711,580-57-9241
bank_3,1,1712,384-51-7873
bank_3,1,1713,260-24-1329
bank_3,1,1714,054-60-4059
bank_3,1,1715,852-11-6002
bank_3,1,1716,282-08-1208
bank_3,1,1717,715-53-3158
bank_3,1,1718,309-74-8223
bank_3,1,1719,771-70-4471
bank_3,1,1720,500-46-1415
bank_3,1,1721,164-90-4922
bank_3,1,1722,462-34-5199
bank_3,1,1723,492-26-0325
bank_3,1,1724,091-96-1142
bank_3,1,1725,768-31-8546
bank_3,1,1726,088-01-4023
bank_3,1,1727,519-53-1559
bank_3,1,1728,650-05-7607
bank_3,1,1729,230-27-9796
bank_3,1,1730,071-85-9113
bank_3,1,1731,465-98-4624
bank_3,1,1732,005-98-8905
bank_3,1,1733,836-41-5504
bank_3,1,1734,132-05-0851
bank_3,1,1735,082-44-3994
bank_3,1,1736,076-53-5245
bank_3,1,1737,390-31-8397
bank_3,1,1738,277-33-7034
bank_3,1,1739,439-04-9518
