acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,JeremyGiles,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,56824.0,1,bank_3,Jeremy,Giles,248 Brooke Divide Apt. 187,Howetown,TN,US,75890,M,1959-04-19,252-19-6848,,
1,CharlesMoore,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,50379.95,1,bank_3,Charles,Moore,0836 Miles Ways,West Aarontown,PA,US,59448,M,1997-12-09,125-65-2723,,
2,CarolynWhite,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,97758.94,1,bank_3,Carolyn,White,044 Steve Extensions Suite 802,West Elizabethville,WA,US,63946,F,1973-10-27,483-12-3039,,
3,LaurenLara,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,72214.87,1,bank_3,Lauren,Lara,2161 Ayala Orchard,Campbellhaven,ME,US,84586,F,1996-02-17,401-99-0142,,
4,MaryWright,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,83064.47,1,bank_3,Mary,Wright,490 Marshall Stream,Port Christinebury,OR,US,41389,F,1941-04-23,735-82-2970,,
5,MarkBrewer,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,78277.88,1,bank_3,Mark,Brewer,563 William Ridges Suite 238,Port Jason,MS,US,84450,M,1971-12-21,382-45-3062,,
6,StevenAlvarado,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,85084.97,1,bank_3,Steven,Alvarado,8294 Gilbert Loop Apt. 701,Bettyport,OK,US,80047,M,1958-04-24,121-61-1254,,
7,JenniferMelton,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,94536.98,1,bank_3,Jennifer,Melton,4263 Janet Road,Millerhaven,NM,US,75255,F,1949-02-12,208-46-7324,,
8,JordanRogers,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,66451.6,1,bank_3,Jordan,Rogers,23036 Becker Springs,Port Brianburgh,DE,US,90610,F,2002-06-01,331-62-5632,,
9,StephenRangel,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,82852.67,1,bank_3,Stephen,Rangel,555 Michael Estates,Longchester,AL,US,63390,M,1947-02-17,171-40-3562,,
