acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_8000,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,52864.95,1,bank_4,,,,,,US,,,,,,
1,C_8001,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,65305.52,1,bank_4,,,,,,US,,,,,,
2,C_8002,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,57557.39,1,bank_4,,,,,,US,,,,,,
3,C_8003,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,59594.37,1,bank_4,,,,,,US,,,,,,
4,C_8004,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71719.61,1,bank_4,,,,,,US,,,,,,
5,C_8005,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,83390.07,1,bank_4,,,,,,US,,,,,,
6,C_8006,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95363.42,1,bank_4,,,,,,US,,,,,,
7,C_8007,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,84497.9,1,bank_4,,,,,,US,,,,,,
8,C_8008,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,64477.12,1,bank_4,,,,,,US,,,,,,
9,C_8009,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,92171.42,1,bank_4,,,,,,US,,,,,,
10,C_8010,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,96460.02,1,bank_4,,,,,,US,,,,,,
11,C_8011,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,96053.61,1,bank_4,,,,,,US,,,,,,
12,C_8012,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,81942.7,1,bank_4,,,,,,US,,,,,,
13,C_8013,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,78837.51,1,bank_4,,,,,,US,,,,,,
14,C_8014,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87393.76,1,bank_4,,,,,,US,,,,,,
15,C_8015,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,84737.44,1,bank_4,,,,,,US,,,,,,
16,C_8016,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,63778.52,1,bank_4,,,,,,US,,,,,,
17,C_8017,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,66113.22,1,bank_4,,,,,,US,,,,,,
18,C_8018,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,58285.25,1,bank_4,,,,,,US,,,,,,
19,C_8019,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71385.61,1,bank_4,,,,,,US,,,,,,
