bank_id,branch_id,acct_id,dsply_nm,type,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
bank_0,1,0,C_0,SAV,,,,,,US,,,,,,
bank_0,1,1,C_1,SAV,,,,,,US,,,,,,
bank_0,1,2,C_2,SAV,,,,,,US,,,,,,
bank_0,1,3,C_3,SAV,,,,,,US,,,,,,
bank_0,1,4,C_4,SAV,,,,,,US,,,,,,
bank_0,1,5,C_5,SAV,,,,,,US,,,,,,
bank_0,1,6,C_6,SAV,,,,,,US,,,,,,
bank_0,1,7,C_7,SAV,,,,,,US,,,,,,
bank_0,1,8,C_8,SAV,,,,,,US,,,,,,
bank_0,1,9,C_9,SAV,,,,,,US,,,,,,
bank_0,1,10,C_10,SAV,,,,,,US,,,,,,
bank_0,1,11,C_11,SAV,,,,,,US,,,,,,
bank_0,1,12,C_12,SAV,,,,,,US,,,,,,
bank_0,1,13,C_13,SAV,,,,,,US,,,,,,
bank_0,1,14,C_14,SAV,,,,,,US,,,,,,
bank_0,1,15,C_15,SAV,,,,,,US,,,,,,
bank_0,1,16,C_16,SAV,,,,,,US,,,,,,
bank_0,1,17,C_17,SAV,,,,,,US,,,,,,
bank_0,1,18,C_18,SAV,,,,,,US,,,,,,
bank_0,1,19,C_19,SAV,,,,,,US,,,,,,
bank_0,1,20,C_20,SAV,,,,,,US,,,,,,
bank_0,1,21,C_21,SAV,,,,,,US,,,,,,
bank_0,1,22,C_22,SAV,,,,,,US,,,,,,
bank_0,1,23,C_23,SAV,,,,,,US,,,,,,
bank_0,1,24,C_24,SAV,,,,,,US,,,,,,
bank_0,1,25,C_25,SAV,,,,,,US,,,,,,
bank_0,1,26,C_26,SAV,,,,,,US,,,,,,
bank_0,1,27,C_27,SAV,,,,,,US,,,,,,
bank_0,1,28,C_28,SAV,,,,,,US,,,,,,
bank_0,1,29,C_29,SAV,,,,,,US,,,,,,
bank_0,1,30,C_30,SAV,,,,,,US,,,,,,
bank_0,1,31,C_31,SAV,,,,,,US,,,,,,
bank_0,1,32,C_32,SAV,,,,,,US,,,,,,
bank_0,1,33,C_33,SAV,,,,,,US,,,,,,
bank_0,1,34,C_34,SAV,,,,,,US,,,,,,
bank_0,1,35,C_35,SAV,,,,,,US,,,,,,
bank_0,1,36,C_36,SAV,,,,,,US,,,,,,
bank_0,1,37,C_37,SAV,,,,,,US,,,,,,
bank_0,1,38,C_38,SAV,,,,,,US,,,,,,
bank_0,1,39,C_39,SAV,,,,,,US,,,,,,
bank_0,1,40,C_40,SAV,,,,,,US,,,,,,
bank_0,1,41,C_41,SAV,,,,,,US,,,,,,
bank_0,1,42,C_42,SAV,,,,,,US,,,,,,
bank_0,1,43,C_43,SAV,,,,,,US,,,,,,
bank_0,1,44,C_44,SAV,,,,,,US,,,,,,
bank_0,1,45,C_45,SAV,,,,,,US,,,,,,
bank_0,1,46,C_46,SAV,,,,,,US,,,,,,
bank_0,1,47,C_47,SAV,,,,,,US,,,,,,
bank_0,1,48,C_48,SAV,,,,,,US,,,,,,
bank_0,1,49,C_49,SAV,,,,,,US,,,,,,
bank_0,1,50,C_50,SAV,,,,,,US,,,,,,
bank_0,1,51,C_51,SAV,,,,,,US,,,,,,
bank_0,1,52,C_52,SAV,,,,,,US,,,,,,
bank_0,1,53,C_53,SAV,,,,,,US,,,,,,
bank_0,1,54,C_54,SAV,,,,,,US,,,,,,
bank_0,1,55,C_55,SAV,,,,,,US,,,,,,
bank_0,1,56,C_56,SAV,,,,,,US,,,,,,
bank_0,1,57,C_57,SAV,,,,,,US,,,,,,
bank_0,1,58,C_58,SAV,,,,,,US,,,,,,
bank_0,1,59,C_59,SAV,,,,,,US,,,,,,
