acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,StevenSutton,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,92221.09,1,bank_0,Steven,Sutton,48764 Howard Forge Apt. 421,Vanessaside,PA,US,19763,M,1962-05-01,128-83-3050,,
1,LisaClayton,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87897.72,1,bank_0,Lisa,Clayton,6593 Ramos Pike,Bryanside,AL,US,12726,F,1990-03-15,281-97-3445,,
2,VictorMorrison,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,71028.58,1,bank_0,Victor,Morrison,139 John Divide Suite 115,Rodriguezside,VT,US,16860,M,1978-06-24,781-18-4733,,
3,MelindaMassey,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62945.84,1,bank_0,Melinda,Massey,96593 White View Apt. 094,Jonesberg,FL,US,05565,F,1998-07-22,847-41-8552,,
4,AlanNelson,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75563.74,1,bank_0,Alan,Nelson,96947 Keller Squares,Christopherville,OR,US,83095,M,1964-01-16,729-99-2688,,
5,KarenAcosta,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,70246.71,1,bank_0,Karen,Acosta,56012 Brandon Ports Apt. 013,South Christopherville,PA,US,03336,F,1954-06-20,550-80-9425,,
6,ChristinaHoward,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,89189.93,1,bank_0,Christina,Howard,691 Jones Cliffs,Michaelburgh,NY,US,61728,F,1943-11-27,317-74-1177,,
7,MariahPrice,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,65165.64,1,bank_0,Mariah,Price,302 Matthew Glen,New Sandraburgh,NJ,US,89797,F,1969-02-13,226-39-2101,,
8,MichelleHughes,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,73829.85,1,bank_0,Michelle,Hughes,071 Stevenson Plains,Dennisfort,RI,US,38233,F,1987-01-19,472-65-4439,,
9,AmyMiles,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,79169.1,1,bank_0,Amy,Miles,93523 Dana Lane,Johnsonshire,WI,US,87296,F,1989-06-22,357-18-4730,,
10,MichelleSmith,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95405.64,1,bank_0,Michelle,Smith,900 Nguyen Villages Suite 063,Port Jessicatown,TX,US,55221,F,1962-09-28,110-11-4206,,
11,RuthNewman,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75234.34,1,bank_0,Ruth,Newman,19344 Craig Walk,Burtontown,NV,US,15676,F,1999-11-04,399-17-8486,,
12,CassandraBennett,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,64091.89,1,bank_0,Cassandra,Bennett,0003 Grant Lakes,Port Karafort,SD,US,60619,F,1984-10-14,890-97-4434,,
13,JohnAllen,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,87790.21,1,bank_0,John,Allen,45551 Chan Camp,West Frankshire,MN,US,52247,M,1978-07-20,749-41-0850,,
14,JessicaTurner,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80918.45,1,bank_0,Jessica,Turner,146 Evans Coves,New Reginafort,MA,US,16796,F,1973-10-29,620-18-7922,,
15,JennyRichardson,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,62525.32,1,bank_0,Jenny,Richardson,96111 Kara Circle,Smithfurt,NC,US,38488,F,1971-10-01,491-83-5994,,
16,ZacharyReid,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95487.31,1,bank_0,Zachary,Reid,6582 Vanessa Oval,New Richard,NE,US,68819,M,1974-12-09,109-32-9090,,
17,KellieSexton,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,99139.27,1,bank_0,Kellie,Sexton,55508 Nancy Rapids,Port Nicholas,VT,US,93086,F,1996-02-23,866-19-3048,,
18,WandaBurgess,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,90510.86,1,bank_0,Wanda,Burgess,40752 Misty Mount,Williamhaven,AZ,US,75719,F,1947-05-25,178-93-9323,,
19,MartinAnderson,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95108.3,1,bank_0,Martin,Anderson,024 Cook Park,Sherriport,MT,US,50853,M,1996-05-07,475-69-0326,,
20,LorraineGarcia,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,65507.38,1,bank_0,Lorraine,Garcia,07627 Emily Drive Suite 609,Hugheston,NJ,US,20341,F,1942-08-08,162-16-8343,,
21,JacobLee,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,86491.59,1,bank_0,Jacob,Lee,67109 Mendez Junction Apt. 942,Lloydville,WY,US,25290,M,1943-10-29,583-51-0827,,
