acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,JulieTurner,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,60430.74,1,bank_1,Julie,Turner,5890 Gina Tunnel,Higginsburgh,TN,US,62103,F,1998-03-17,378-22-3125,,
1,KayleeJohnson,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,96042.59,1,bank_1,Kaylee,Johnson,12654 Mccall Valley,Port Leslieshire,NC,US,23999,F,1966-10-21,481-07-9454,,
2,BettyLam,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,59840.4,1,bank_1,Betty,Lam,94367 Angela Bridge,Ortegaland,IL,US,68396,F,1990-07-10,684-94-8131,,
3,MarieMoreno,SAV,A,USD,True,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,59223.75,1,bank_1,Marie,Moreno,8592 Ortiz Burgs Suite 892,Lake Jasonmouth,AK,US,95614,F,1946-09-03,032-73-0804,,
4,CharlesOlsen,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,58940.7,1,bank_1,Charles,Olsen,11146 Maria Mission Apt. 160,Jennabury,TN,US,81942,M,1987-12-19,175-45-2756,,
5,FeliciaMartinez,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,82904.75,1,bank_1,Felicia,Martinez,469 Richardson Hollow,Emmaborough,MA,US,61306,F,1955-02-08,227-89-0035,,
6,StaceyRose,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,80587.0,1,bank_1,Stacey,Rose,089 Kennedy Shoal Suite 935,South Kurtville,DC,US,38871,F,1986-05-14,235-13-7577,,
7,TammyKerr,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75281.67,1,bank_1,Tammy,Kerr,47227 Keith Well Apt. 537,Lyonsfort,IL,US,23298,F,1958-12-05,197-64-5342,,
8,TeresaKim,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,79340.09,1,bank_1,Teresa,Kim,3949 Morris Forest,South Christopherton,NV,US,70308,F,1983-07-25,419-91-4386,,
9,KaylaDyer,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,97028.82,1,bank_1,Kayla,Dyer,398 Nicole Grove Apt. 952,Danaville,WI,US,66553,F,1984-02-24,876-69-3021,,
10,SeanWiggins,SAV,A,USD,True,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,93060.5,1,bank_1,Sean,Wiggins,10825 Heidi Port Suite 353,Virginiahaven,NJ,US,33399,M,1953-12-31,827-66-6233,,
11,ErinMorales,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,95296.73,1,bank_1,Erin,Morales,5555 Amanda Valley,Rowestad,NH,US,85696,F,1960-05-19,448-88-9669,,
12,BryceRamirez,SAV,A,USD,True,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,52707.89,1,bank_1,Bryce,Ramirez,83748 Deborah Trace Suite 811,Nelsonberg,NM,US,25582,M,1964-02-14,357-81-8712,,
13,JosephClark,SAV,A,USD,True,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,94870.64,1,bank_1,Joseph,Clark,4750 Michael Rapids,West Barrytown,GA,US,15171,M,1953-07-11,395-63-1318,,
14,JeffreyPoole,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,51567.53,1,bank_1,Jeffrey,Poole,995 Alexis Road,East Andrew,MT,US,28269,M,1977-02-01,805-58-6927,,
15,ValerieMorrison,SAV,A,USD,True,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,82382.15,1,bank_1,Valerie,Morrison,5244 Sanchez Hills,Shortmouth,IL,US,26544,F,2002-01-09,106-94-5607,,
16,LaurieClark,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,96541.61,1,bank_1,Laurie,Clark,1884 Jeffrey Key Apt. 577,Cooperville,MI,US,18574,F,1967-04-19,536-71-4473,,
17,BrianGuzman,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,75123.17,1,bank_1,Brian,Guzman,233 Amy Valley,Port Todd,CA,US,40929,M,1985-12-07,487-35-8172,,
18,BethanyChaney,SAV,A,USD,False,1,2017-01-01T00:00:00Z,4754-11-29T00:00:00Z,70966.03,1,bank_1,Bethany,Chaney,822 Jackson Point,Ramirezburgh,IL,US,72378,F,1999-11-22,711-11-2276,,
